"Lake","Date","Year","DOY","Depth","Temperature"
"B",1996-05-08,1996,129,0,8
"B",1996-05-08,1996,129,0.5,7
"B",1996-05-08,1996,129,1,6.5
"B",1996-05-08,1996,129,1.5,6
"B",1996-05-08,1996,129,2,6
"B",1996-05-08,1996,129,2.5,6
"B",1996-05-08,1996,129,3,6
"B",1996-05-08,1996,129,3.5,5.5
"B",1996-05-22,1996,143,0,12.5
"B",1996-05-22,1996,143,0.5,12.5
"B",1996-05-22,1996,143,1,12.5
"B",1996-05-22,1996,143,1.5,12.5
"B",1996-05-22,1996,143,2,12.5
"B",1996-05-22,1996,143,2.5,12.5
"B",1996-05-22,1996,143,3,12.5
"B",1996-06-06,1996,158,0,19
"B",1996-06-06,1996,158,0.5,18
"B",1996-06-06,1996,158,1,17.5
"B",1996-06-06,1996,158,1.5,17
"B",1996-06-06,1996,158,2,17
"B",1996-06-06,1996,158,2.5,17
"B",1996-06-06,1996,158,3,17
"B",1996-06-06,1996,158,3.5,17
"B",1996-06-06,1996,158,4,17
"B",1996-06-18,1996,170,0,19.5
"B",1996-06-18,1996,170,0.5,19
"B",1996-06-18,1996,170,1,19
"B",1996-06-18,1996,170,1.5,19
"B",1996-06-18,1996,170,2,19
"B",1996-06-18,1996,170,2.5,19
"B",1996-06-18,1996,170,3,19
"B",1996-06-18,1996,170,3.5,19
"B",1996-06-18,1996,170,4,19
"B",1996-07-03,1996,185,0,22
"B",1996-07-03,1996,185,0.5,22
"B",1996-07-03,1996,185,1,22
"B",1996-07-03,1996,185,1.5,22
"B",1996-07-03,1996,185,2,22
"B",1996-07-03,1996,185,2.5,21.5
"B",1996-07-03,1996,185,3,21
"B",1996-07-03,1996,185,3.5,21
"B",1996-07-03,1996,185,4,21
"B",1996-07-19,1996,201,0,22
"B",1996-07-19,1996,201,0.5,22
"B",1996-07-19,1996,201,1,22
"B",1996-07-19,1996,201,1.5,22
"B",1996-07-19,1996,201,2,22
"B",1996-07-19,1996,201,2.5,22
"B",1996-07-19,1996,201,3,22
"B",1996-07-19,1996,201,3.5,22
"B",1996-08-02,1996,215,0,24
"B",1996-08-02,1996,215,0.5,23
"B",1996-08-02,1996,215,1,22
"B",1996-08-02,1996,215,1.5,22
"B",1996-08-02,1996,215,2,22
"B",1996-08-02,1996,215,2.5,22
"B",1996-08-02,1996,215,3,21
"B",1996-08-02,1996,215,3.5,21
"B",1996-08-19,1996,232,0,21
"B",1996-08-19,1996,232,1,21
"B",1996-08-19,1996,232,2,21
"B",1996-08-19,1996,232,3,21
"B",1996-08-19,1996,232,4,21
"B",1997-05-08,1997,128,0,10
"B",1997-05-08,1997,128,0.5,9.5
"B",1997-05-08,1997,128,1,9
"B",1997-05-08,1997,128,1.5,9
"B",1997-05-08,1997,128,2,9
"B",1997-05-08,1997,128,2.5,8.5
"B",1997-05-08,1997,128,3,8.5
"B",1997-05-08,1997,128,3.5,8.5
"B",1997-05-26,1997,146,0,14
"B",1997-05-26,1997,146,0.5,13.5
"B",1997-05-26,1997,146,1,13
"B",1997-05-26,1997,146,1.5,13
"B",1997-05-26,1997,146,2,13
"B",1997-05-26,1997,146,2.5,13
"B",1997-05-26,1997,146,3,12.5
"B",1997-05-26,1997,146,3.5,12.5
"B",1997-06-09,1997,160,0,19.5
"B",1997-06-09,1997,160,0.5,19.5
"B",1997-06-09,1997,160,1,19.5
"B",1997-06-09,1997,160,1.5,19.5
"B",1997-06-09,1997,160,2,19.5
"B",1997-06-09,1997,160,2.5,19.5
"B",1997-06-09,1997,160,3,19.5
"B",1997-06-09,1997,160,3.5,19.5
"B",1997-06-25,1997,176,0,19
"B",1997-06-25,1997,176,0.5,19
"B",1997-06-25,1997,176,1,19
"B",1997-06-25,1997,176,1.5,19
"B",1997-06-25,1997,176,2,19
"B",1997-06-25,1997,176,2.5,19
"B",1997-06-25,1997,176,3,19
"B",1997-06-25,1997,176,3.5,19
"B",1997-06-25,1997,176,4,19
"B",1997-07-08,1997,189,0,20
"B",1997-07-08,1997,189,0.5,20
"B",1997-07-08,1997,189,1,19.5
"B",1997-07-08,1997,189,1.5,19.5
"B",1997-07-08,1997,189,2,19.5
"B",1997-07-08,1997,189,2.5,19.5
"B",1997-07-08,1997,189,3,19
"B",1997-07-08,1997,189,3.5,19
"B",1997-07-08,1997,189,4,19
"B",1997-07-24,1997,205,0,22.5
"B",1997-07-24,1997,205,0.5,22.5
"B",1997-07-24,1997,205,1,22.5
"B",1997-07-24,1997,205,1.5,22.5
"B",1997-07-24,1997,205,2,22.5
"B",1997-07-24,1997,205,2.5,22.5
"B",1997-07-24,1997,205,3,22.5
"B",1997-07-24,1997,205,3.5,22.5
"B",1997-07-24,1997,205,4,22
"B",1997-08-05,1997,217,0,25
"B",1997-08-05,1997,217,0.5,25
"B",1997-08-05,1997,217,1,25
"B",1997-08-05,1997,217,1.5,24.5
"B",1997-08-05,1997,217,2,24.5
"B",1997-08-05,1997,217,2.5,24
"B",1997-08-05,1997,217,3,24
"B",1997-08-05,1997,217,3.5,23
"B",1997-08-05,1997,217,4,23
"B",1997-08-21,1997,233,0,19
"B",1997-08-21,1997,233,0.5,19
"B",1997-08-21,1997,233,1,18.5
"B",1997-08-21,1997,233,1.5,18
"B",1997-08-21,1997,233,2,18
"B",1997-08-21,1997,233,2.5,18
"B",1997-08-21,1997,233,3,18
"B",1997-08-21,1997,233,3.5,17.5
"B",1997-08-21,1997,233,4,17
"B",1998-05-15,1998,135,0,12.5
"B",1998-05-15,1998,135,0.5,12.5
"B",1998-05-15,1998,135,1,12
"B",1998-05-15,1998,135,1.5,12
"B",1998-05-15,1998,135,2,12
"B",1998-05-15,1998,135,3,12
"B",1998-05-15,1998,135,3.5,12
"B",1998-05-15,1998,135,4,12
"B",1998-05-15,1998,135,4.5,12
"B",1998-06-01,1998,152,0,15.2
"B",1998-06-01,1998,152,0.5,15.2
"B",1998-06-01,1998,152,1,15.2
"B",1998-06-01,1998,152,1.5,15.2
"B",1998-06-01,1998,152,2,15.2
"B",1998-06-01,1998,152,2.5,15.2
"B",1998-06-01,1998,152,3,15.2
"B",1998-06-01,1998,152,3.5,15.2
"B",1998-06-15,1998,166,0,18
"B",1998-06-15,1998,166,0.5,19.5
"B",1998-06-15,1998,166,1,17.5
"B",1998-06-15,1998,166,1.5,17
"B",1998-06-15,1998,166,2,17
"B",1998-06-15,1998,166,2.5,17
"B",1998-06-15,1998,166,3,17
"B",1998-06-15,1998,166,3.5,17
"B",1998-06-30,1998,181,0,19.5
"B",1998-06-30,1998,181,0.5,19
"B",1998-06-30,1998,181,1,18
"B",1998-06-30,1998,181,1.5,18
"B",1998-06-30,1998,181,2,17.2
"B",1998-06-30,1998,181,2.5,17
"B",1998-06-30,1998,181,3,17
"B",1998-06-30,1998,181,3.5,16.8
"B",1998-06-30,1998,181,4,16.5
"B",1998-06-30,1998,181,4.5,16.5
"B",1998-07-15,1998,196,0,19.5
"B",1998-07-15,1998,196,0.5,19.5
"B",1998-07-15,1998,196,1,19.5
"B",1998-07-15,1998,196,1.5,19.5
"B",1998-07-15,1998,196,2,19.5
"B",1998-07-15,1998,196,2.5,19.5
"B",1998-07-15,1998,196,3,19.5
"B",1998-07-15,1998,196,3.5,19.5
"B",1998-07-31,1998,212,0,20
"B",1998-07-31,1998,212,0.5,19
"B",1998-07-31,1998,212,1,19
"B",1998-07-31,1998,212,1.5,19
"B",1998-07-31,1998,212,2,19
"B",1998-07-31,1998,212,2.5,19
"B",1998-07-31,1998,212,3,19
"B",1998-07-31,1998,212,3.5,19
"B",1998-08-21,1998,233,0,19.5
"B",1998-08-21,1998,233,0.5,20
"B",1998-08-21,1998,233,1,20
"B",1998-08-21,1998,233,1.5,20
"B",1998-08-21,1998,233,2,20
"B",1998-08-21,1998,233,2.5,20
"B",1998-08-21,1998,233,3,20
"B",1998-08-21,1998,233,3.5,20
"B",1998-09-22,1998,265,0,15
"B",1998-09-22,1998,265,0.5,15
"B",1998-09-22,1998,265,1,14.5
"B",1998-09-22,1998,265,1.5,14.5
"B",1998-09-22,1998,265,2,14.5
"B",1998-09-22,1998,265,2.5,14
"B",1998-09-22,1998,265,3,14
"B",1998-09-22,1998,265,3.5,14
"B",1998-09-22,1998,265,4,13.5
"B",1999-05-17,1999,137,0,12.5
"B",1999-05-17,1999,137,0.5,12
"B",1999-05-17,1999,137,1,12
"B",1999-05-17,1999,137,1.5,12
"B",1999-05-17,1999,137,2,11.5
"B",1999-05-17,1999,137,2.5,11.5
"B",1999-05-17,1999,137,3,11.5
"B",1999-05-30,1999,150,0,16
"B",1999-05-30,1999,150,0.5,15.5
"B",1999-05-30,1999,150,1,15.5
"B",1999-05-30,1999,150,1.5,15.5
"B",1999-05-30,1999,150,2,15.5
"B",1999-05-30,1999,150,2.5,15.5
"B",1999-05-30,1999,150,3,15.5
"B",1999-05-30,1999,150,3.5,15.5
"B",1999-05-30,1999,150,4,15.5
"B",1999-06-14,1999,165,0,18
"B",1999-06-14,1999,165,0.5,18
"B",1999-06-14,1999,165,1,18
"B",1999-06-14,1999,165,1.5,17.5
"B",1999-06-14,1999,165,2,17.5
"B",1999-06-14,1999,165,2.5,17
"B",1999-06-14,1999,165,3,17
"B",1999-06-14,1999,165,3.5,17
"B",1999-06-14,1999,165,4,17
"B",1999-06-14,1999,165,4.5,16.5
"B",1999-07-04,1999,185,0,18.5
"B",1999-07-04,1999,185,0.5,18
"B",1999-07-04,1999,185,1,18
"B",1999-07-04,1999,185,1.5,18
"B",1999-07-04,1999,185,2,18
"B",1999-07-04,1999,185,2.5,18
"B",1999-07-04,1999,185,3,18
"B",1999-07-04,1999,185,3.5,18
"B",1999-07-04,1999,185,4,18
"B",1999-07-13,1999,194,0,23
"B",1999-07-13,1999,194,0.5,21.5
"B",1999-07-13,1999,194,1,21
"B",1999-07-13,1999,194,1.5,21
"B",1999-07-13,1999,194,2,20.5
"B",1999-07-13,1999,194,2.5,20.5
"B",1999-07-13,1999,194,3,20.5
"B",1999-07-13,1999,194,3.5,20.5
"B",1999-07-13,1999,194,4,20
"B",1999-07-13,1999,194,4.5,19.5
"B",1999-08-06,1999,218,0,22
"B",1999-08-06,1999,218,0.5,22
"B",1999-08-06,1999,218,1,22
"B",1999-08-06,1999,218,1.5,21.5
"B",1999-08-06,1999,218,2,21.5
"B",1999-08-06,1999,218,2.5,21.5
"B",1999-08-06,1999,218,3,21.5
"B",1999-08-06,1999,218,3.5,21.5
"B",1999-08-06,1999,218,4,21.5
"B",1999-08-20,1999,232,0,20
"B",1999-08-20,1999,232,0.5,20
"B",1999-08-20,1999,232,1,20
"B",1999-08-20,1999,232,1.5,20
"B",1999-08-20,1999,232,2,20
"B",1999-08-20,1999,232,2.5,20
"B",1999-08-20,1999,232,3,20
"B",1999-08-20,1999,232,3.5,20
"B",1999-08-20,1999,232,4,20
"B",1999-08-28,1999,240,0,19
"B",1999-08-28,1999,240,0.5,19
"B",1999-08-28,1999,240,1,17
"B",1999-08-28,1999,240,1.5,17
"B",1999-08-28,1999,240,2,17
"B",1999-08-28,1999,240,2.5,17
"B",1999-08-28,1999,240,3,17
"B",1999-08-28,1999,240,3.5,17
"B",1999-08-28,1999,240,4,16.5
"B",2000-05-07,2000,128,0,14
"B",2000-05-07,2000,128,1,13.5
"B",2000-05-07,2000,128,2,13
"B",2000-05-07,2000,128,3,13
"B",2000-05-07,2000,128,4,13
"B",2000-05-07,2000,128,5,13
"B",2000-05-07,2000,128,6,13
"B",2000-05-07,2000,128,7,13
"B",2000-05-07,2000,128,8,13
"B",2000-05-07,2000,128,9,13
"B",2000-05-19,2000,140,0,16
"B",2000-05-19,2000,140,0.5,14.5
"B",2000-05-19,2000,140,1,14.5
"B",2000-05-19,2000,140,1.5,13
"B",2000-05-19,2000,140,2,13
"B",2000-05-19,2000,140,2.5,13
"B",2000-05-19,2000,140,3,13
"B",2000-05-19,2000,140,3.5,13
"B",2000-05-19,2000,140,4,13
"B",2000-05-19,2000,140,4.5,13
"B",2000-05-19,2000,140,5,13
"B",2000-06-05,2000,157,0,17
"B",2000-06-05,2000,157,0.5,16.5
"B",2000-06-05,2000,157,1,16
"B",2000-06-05,2000,157,1.5,15.5
"B",2000-06-05,2000,157,2,15
"B",2000-06-05,2000,157,2.5,15
"B",2000-06-05,2000,157,3,15
"B",2000-06-05,2000,157,3.5,14.5
"B",2000-06-05,2000,157,4,14.5
"B",2000-06-05,2000,157,4.5,14.5
"B",2000-06-05,2000,157,5,14.5
"B",2000-06-20,2000,172,0,15.5
"B",2000-06-20,2000,172,0.5,15.5
"B",2000-06-20,2000,172,1,15.5
"B",2000-06-20,2000,172,1.5,15.5
"B",2000-06-20,2000,172,2,15.5
"B",2000-06-20,2000,172,2.5,15.5
"B",2000-07-07,2000,189,0,21
"B",2000-07-07,2000,189,0.5,20.5
"B",2000-07-07,2000,189,1,20.5
"B",2000-07-07,2000,189,1.5,20
"B",2000-07-07,2000,189,2,20
"B",2000-07-07,2000,189,2.5,20
"B",2000-07-07,2000,189,3,20
"B",2000-07-07,2000,189,3.5,20
"B",2000-07-07,2000,189,4,20
"B",2000-07-07,2000,189,4.5,20
"B",2000-07-24,2000,206,0,21.5
"B",2000-07-24,2000,206,0.5,21.5
"B",2000-07-24,2000,206,1,21.5
"B",2000-07-24,2000,206,1.5,21
"B",2000-07-24,2000,206,2,21
"B",2000-07-24,2000,206,2.5,21
"B",2000-07-24,2000,206,3,21
"B",2000-07-24,2000,206,3.5,21
"B",2000-07-24,2000,206,4,21
"B",2000-07-24,2000,206,4.5,21
"B",2000-08-08,2000,221,0,23
"B",2000-08-08,2000,221,0.5,23
"B",2000-08-08,2000,221,1,22
"B",2000-08-08,2000,221,1.5,22
"B",2000-08-08,2000,221,2,22
"B",2000-08-08,2000,221,2.5,22
"B",2000-08-08,2000,221,3,22
"B",2000-08-08,2000,221,3.5,22
"B",2000-08-08,2000,221,4,22
"B",2000-08-08,2000,221,4.5,22
"B",2000-08-22,2000,235,0,20
"B",2000-08-22,2000,235,0.5,19.5
"B",2000-08-22,2000,235,1,19
"B",2000-08-22,2000,235,1.5,18.5
"B",2000-08-22,2000,235,2,18.5
"B",2000-08-22,2000,235,2.5,18
"B",2000-08-22,2000,235,3,18
"B",2000-08-22,2000,235,3.5,18
"B",2000-08-22,2000,235,4,18
"B",2000-08-22,2000,235,4.5,18
"B",2001-05-04,2001,124,0,10.5
"B",2001-05-04,2001,124,0.5,9.7
"B",2001-05-04,2001,124,1,9.2
"B",2001-05-04,2001,124,1.5,9
"B",2001-05-04,2001,124,2,9
"B",2001-05-04,2001,124,2.5,9
"B",2001-05-04,2001,124,3,9
"B",2001-05-04,2001,124,3.5,8.7
"B",2001-05-04,2001,124,4,8.6
"B",2001-05-16,2001,136,0,15
"B",2001-05-16,2001,136,0.5,14
"B",2001-05-16,2001,136,1,14
"B",2001-05-16,2001,136,1.5,14
"B",2001-05-16,2001,136,2,14
"B",2001-05-16,2001,136,2.5,14
"B",2001-05-16,2001,136,3,14
"B",2001-05-16,2001,136,3.5,14
"B",2001-06-06,2001,157,0,15.6
"B",2001-06-06,2001,157,1,15.1
"B",2001-06-06,2001,157,1.5,15
"B",2001-06-06,2001,157,2,15
"B",2001-06-06,2001,157,2.5,14.9
"B",2001-06-06,2001,157,3,14.8
"B",2001-06-06,2001,157,3.5,14.9
"B",2001-06-06,2001,157,4,14.8
"B",2001-06-06,2001,157,5,15.2
"B",2001-06-15,2001,166,0,18
"B",2001-06-15,2001,166,0.5,17.6
"B",2001-06-15,2001,166,1,17
"B",2001-06-15,2001,166,1.5,17
"B",2001-06-15,2001,166,2,16.9
"B",2001-06-15,2001,166,2.5,16.8
"B",2001-06-15,2001,166,3,16.7
"B",2001-06-15,2001,166,3.5,16.6
"B",2001-06-25,2001,176,0,19.5
"B",2001-06-25,2001,176,0.5,19.5
"B",2001-06-25,2001,176,1,19.5
"B",2001-06-25,2001,176,1.5,19.5
"B",2001-06-25,2001,176,2,19.5
"B",2001-06-25,2001,176,2.5,19.5
"B",2001-06-25,2001,176,3,19.5
"B",2001-06-25,2001,176,3.5,19.5
"B",2001-06-25,2001,176,4,19
"B",2001-07-13,2001,194,0,24
"B",2001-07-13,2001,194,0.5,24
"B",2001-07-13,2001,194,1,24
"B",2001-07-13,2001,194,1.5,24
"B",2001-07-13,2001,194,2,24
"B",2001-07-13,2001,194,2.5,23.8
"B",2001-07-13,2001,194,3,23.7
"B",2001-07-13,2001,194,3.5,23.7
"B",2001-07-13,2001,194,4,23.5
"B",2001-07-27,2001,208,0,22.5
"B",2001-07-27,2001,208,0.5,22.5
"B",2001-07-27,2001,208,1,22
"B",2001-07-27,2001,208,1.5,21.8
"B",2001-07-27,2001,208,2,21
"B",2001-07-27,2001,208,2.5,21.1
"B",2001-07-27,2001,208,3,21
"B",2001-07-27,2001,208,3.5,21
"B",2001-07-27,2001,208,4,21
"B",2001-08-09,2001,221,0,21.5
"B",2001-08-09,2001,221,0.5,21.5
"B",2001-08-09,2001,221,1,21.5
"B",2001-08-09,2001,221,1.5,21.5
"B",2001-08-09,2001,221,2,21.5
"B",2001-08-09,2001,221,2.5,21.5
"B",2001-08-09,2001,221,3,21.5
"B",2001-08-09,2001,221,3.5,21.5
"B",2001-08-09,2001,221,4,21.5
"B",2001-08-28,2001,240,0,20.5
"B",2001-08-28,2001,240,0.5,20
"B",2001-08-28,2001,240,1,20
"B",2001-08-28,2001,240,1.5,20
"B",2001-08-28,2001,240,2,20
"B",2001-08-28,2001,240,2.5,20
"B",2001-08-28,2001,240,3,19.5
"B",2001-08-28,2001,240,3.5,19.5
"B",2001-08-28,2001,240,4,19.5
"B",2002-05-08,2002,128,0,7
"B",2002-05-08,2002,128,0.5,6
"B",2002-05-08,2002,128,1,6
"B",2002-05-08,2002,128,1.5,6
"B",2002-05-08,2002,128,2,6
"B",2002-05-08,2002,128,2.5,5.5
"B",2002-05-08,2002,128,3,5.5
"B",2002-05-08,2002,128,3.5,5.5
"B",2002-05-08,2002,128,4,5.5
"B",2002-05-23,2002,143,0,11
"B",2002-05-23,2002,143,0.5,10.5
"B",2002-05-23,2002,143,1,10.5
"B",2002-05-23,2002,143,1.5,10
"B",2002-05-23,2002,143,2,10
"B",2002-05-23,2002,143,2.5,10
"B",2002-05-23,2002,143,3,10
"B",2002-05-23,2002,143,3.5,9.5
"B",2002-05-23,2002,143,4,9.5
"B",2002-06-05,2002,156,0,17.5
"B",2002-06-05,2002,156,0.5,17
"B",2002-06-05,2002,156,1,16.5
"B",2002-06-05,2002,156,1.5,16.5
"B",2002-06-05,2002,156,2,16
"B",2002-06-05,2002,156,2.5,16
"B",2002-06-05,2002,156,3,16
"B",2002-06-05,2002,156,3.5,16
"B",2002-06-05,2002,156,4,15.5
"B",2002-06-20,2002,171,0,21.5
"B",2002-06-20,2002,171,0.5,18.7
"B",2002-06-20,2002,171,1,18
"B",2002-06-20,2002,171,1.5,17.5
"B",2002-06-20,2002,171,2,17
"B",2002-06-20,2002,171,2.5,16.8
"B",2002-06-20,2002,171,3,16.5
"B",2002-06-20,2002,171,3.5,16.1
"B",2002-06-20,2002,171,4,16
"B",2002-07-03,2002,184,0,21.5
"B",2002-07-03,2002,184,0.5,21
"B",2002-07-03,2002,184,1,21
"B",2002-07-03,2002,184,1.5,20.5
"B",2002-07-03,2002,184,2,20
"B",2002-07-03,2002,184,2.5,20
"B",2002-07-03,2002,184,3,20
"B",2002-07-03,2002,184,3.5,20
"B",2002-07-03,2002,184,4,20
"B",2002-07-03,2002,184,4.5,20
"B",2002-07-22,2002,203,0,23
"B",2002-07-22,2002,203,0.5,23
"B",2002-07-22,2002,203,1,22.5
"B",2002-07-22,2002,203,1.5,22
"B",2002-07-22,2002,203,2,22
"B",2002-07-22,2002,203,2.5,22
"B",2002-07-22,2002,203,3,22
"B",2002-07-22,2002,203,3.5,22
"B",2002-07-22,2002,203,4,22
"B",2002-07-22,2002,203,4.5,22
"B",2002-08-06,2002,218,0,16.5
"B",2002-08-06,2002,218,0.5,16.5
"B",2002-08-06,2002,218,1,16.5
"B",2002-08-06,2002,218,1.5,16.5
"B",2002-08-06,2002,218,2,16.5
"B",2002-08-06,2002,218,2.5,16.5
"B",2002-08-06,2002,218,3,16.5
"B",2002-08-06,2002,218,3.5,16.5
"B",2002-08-06,2002,218,4,16.5
"B",2002-08-06,2002,218,4.5,16.5
"B",2002-08-19,2002,231,0,16.5
"B",2002-08-19,2002,231,0.5,16
"B",2002-08-19,2002,231,1,16
"B",2002-08-19,2002,231,1.5,16
"B",2002-08-19,2002,231,2,16
"B",2002-08-19,2002,231,2.5,15.5
"B",2002-08-19,2002,231,3,15.5
"B",2002-08-19,2002,231,3.5,15
"B",2002-08-19,2002,231,4,15
"B",2002-08-19,2002,231,4.5,15
"B",2003-05-06,2003,126,0,12.4
"B",2003-05-06,2003,126,0.5,12.4
"B",2003-05-06,2003,126,1,12.3
"B",2003-05-06,2003,126,1.5,12.3
"B",2003-05-06,2003,126,2,12.2
"B",2003-05-06,2003,126,2.5,12.1
"B",2003-05-06,2003,126,3,11.9
"B",2003-05-06,2003,126,3.5,11.8
"B",2003-05-06,2003,126,4,11.8
"B",2003-05-21,2003,141,0,13.3
"B",2003-05-21,2003,141,0.5,13.1
"B",2003-05-21,2003,141,1,12.4
"B",2003-05-21,2003,141,1.5,12.3
"B",2003-05-21,2003,141,2,12.3
"B",2003-05-21,2003,141,2.5,12.3
"B",2003-05-21,2003,141,3,12.2
"B",2003-05-21,2003,141,3.5,12.2
"B",2003-05-21,2003,141,4,12.1
"B",2003-06-04,2003,155,0,16.9
"B",2003-06-04,2003,155,0.5,16.9
"B",2003-06-04,2003,155,1,16.9
"B",2003-06-04,2003,155,1.5,16.9
"B",2003-06-04,2003,155,2,16.8
"B",2003-06-04,2003,155,2.5,16.8
"B",2003-06-04,2003,155,3,16.8
"B",2003-06-04,2003,155,3.5,16.8
"B",2003-06-04,2003,155,4,16.8
"B",2003-06-04,2003,155,4.5,16.8
"B",2003-06-20,2003,171,0,22.5
"B",2003-06-20,2003,171,0.5,22.2
"B",2003-06-20,2003,171,1,21.3
"B",2003-06-20,2003,171,1.5,21.1
"B",2003-06-20,2003,171,2,20.9
"B",2003-06-20,2003,171,2.5,20.8
"B",2003-06-20,2003,171,3,20.8
"B",2003-06-20,2003,171,3.5,20.7
"B",2003-06-20,2003,171,4,20.6
"B",2003-06-20,2003,171,4.5,20.5
"B",2003-06-27,2003,178,0,18.9
"B",2003-06-27,2003,178,0.5,18.9
"B",2003-06-27,2003,178,1,18.9
"B",2003-06-27,2003,178,1.5,18.9
"B",2003-06-27,2003,178,2,18.9
"B",2003-06-27,2003,178,2.5,18.9
"B",2003-06-27,2003,178,3,18.9
"B",2003-06-27,2003,178,3.5,18.9
"B",2003-06-27,2003,178,4,18.9
"B",2003-06-27,2003,178,4.5,18.9
"B",2003-07-14,2003,195,0,21.3
"B",2003-07-14,2003,195,0.5,21.3
"B",2003-07-14,2003,195,1,21.3
"B",2003-07-14,2003,195,1.5,21.3
"B",2003-07-14,2003,195,2,21.2
"B",2003-07-14,2003,195,2.5,21.3
"B",2003-07-14,2003,195,3,21.2
"B",2003-07-14,2003,195,3.5,21.2
"B",2003-07-14,2003,195,4,21.1
"B",2003-07-29,2003,210,0,23.3
"B",2003-07-29,2003,210,0.5,23.3
"B",2003-07-29,2003,210,1,23.3
"B",2003-07-29,2003,210,1.5,23.3
"B",2003-07-29,2003,210,2,23.3
"B",2003-07-29,2003,210,2.5,23.3
"B",2003-07-29,2003,210,3,23.3
"B",2003-07-29,2003,210,3.5,23.3
"B",2003-07-29,2003,210,4,23.2
"B",2003-08-13,2003,225,0,23.3
"B",2003-08-13,2003,225,0.5,23.3
"B",2003-08-13,2003,225,1,23.2
"B",2003-08-13,2003,225,1.5,23.2
"B",2003-08-13,2003,225,2,23.2
"B",2003-08-13,2003,225,2.5,23.2
"B",2003-08-13,2003,225,3,23.2
"B",2003-08-13,2003,225,3.5,23.2
"B",2003-08-13,2003,225,4,23.2
"B",2003-08-20,2003,232,0,22.8
"B",2003-08-20,2003,232,0.5,22.9
"B",2003-08-20,2003,232,1,22.9
"B",2003-08-20,2003,232,1.5,22.9
"B",2003-08-20,2003,232,2,22.9
"B",2003-08-20,2003,232,2.5,22.9
"B",2003-08-20,2003,232,3,22.9
"B",2003-08-20,2003,232,3.5,22.9
"B",2003-08-20,2003,232,4,22.9
"B",2004-05-07,2004,128,0,15.5
"B",2004-05-07,2004,128,0.5,15.30000019
"B",2004-05-07,2004,128,1,15.30000019
"B",2004-05-07,2004,128,1.5,15.19999981
"B",2004-05-07,2004,128,2,15.10000038
"B",2004-05-07,2004,128,2.5,15.10000038
"B",2004-05-07,2004,128,3,14.80000019
"B",2004-05-07,2004,128,3.5,14.69999981
"B",2004-05-07,2004,128,4,14.60000038
"B",2004-05-26,2004,147,0,10.80000019
"B",2004-05-26,2004,147,0.5,10.60000038
"B",2004-05-26,2004,147,1,10.5
"B",2004-05-26,2004,147,1.5,10.5
"B",2004-05-26,2004,147,2,10.5
"B",2004-05-26,2004,147,2.5,10.5
"B",2004-05-26,2004,147,3,10.5
"B",2004-05-26,2004,147,3.5,10.5
"B",2004-05-26,2004,147,4,10.5
"B",2004-06-04,2004,156,0,15.5
"B",2004-06-04,2004,156,0.5,15.39999962
"B",2004-06-04,2004,156,1,15.19999981
"B",2004-06-04,2004,156,1.5,15
"B",2004-06-04,2004,156,2,14.5
"B",2004-06-04,2004,156,2.5,14.10000038
"B",2004-06-04,2004,156,3,14
"B",2004-06-04,2004,156,3.5,13
"B",2004-06-28,2004,180,0,20.70000076
"B",2004-06-28,2004,180,0.5,20.39999962
"B",2004-06-28,2004,180,1,19.29999924
"B",2004-06-28,2004,180,1.5,18.60000038
"B",2004-06-28,2004,180,2,18.39999962
"B",2004-06-28,2004,180,2.5,18.20000076
"B",2004-06-28,2004,180,3,18.10000038
"B",2004-06-28,2004,180,3.5,17.89999962
"B",2004-06-28,2004,180,4,17.39999962
"B",2004-07-12,2004,194,0,20.39999962
"B",2004-07-12,2004,194,0.5,20.39999962
"B",2004-07-12,2004,194,1,20.39999962
"B",2004-07-12,2004,194,1.5,20.29999924
"B",2004-07-12,2004,194,2,20.39999962
"B",2004-07-12,2004,194,2.5,20.29999924
"B",2004-07-12,2004,194,3,20.29999924
"B",2004-07-12,2004,194,3.5,20.29999924
"B",2004-07-29,2004,211,0,19.39999962
"B",2004-07-29,2004,211,0.5,19.39999962
"B",2004-07-29,2004,211,1,19.39999962
"B",2004-07-29,2004,211,1.5,19.29999924
"B",2004-07-29,2004,211,2,19.29999924
"B",2004-07-29,2004,211,2.5,19.10000038
"B",2004-07-29,2004,211,3,19.10000038
"B",2004-07-29,2004,211,3.5,19.10000038
"B",2004-07-29,2004,211,4,19
"B",2004-08-11,2004,224,0,18.20000076
"B",2004-08-11,2004,224,0.5,18.20000076
"B",2004-08-11,2004,224,1,18.10000038
"B",2004-08-11,2004,224,1.5,18.10000038
"B",2004-08-11,2004,224,2,18.10000038
"B",2004-08-11,2004,224,2.5,18.10000038
"B",2004-08-11,2004,224,3,18.10000038
"B",2004-08-11,2004,224,3.5,18.10000038
"B",2004-08-11,2004,224,4,18.10000038
"B",2005-05-10,2005,130,0,9.1
"B",2005-05-10,2005,130,0.5,10
"B",2005-05-10,2005,130,1,10
"B",2005-05-10,2005,130,1.5,10
"B",2005-05-10,2005,130,2,10
"B",2005-05-10,2005,130,2.5,9.9
"B",2005-05-10,2005,130,3,9.9
"B",2005-05-10,2005,130,3.5,9.9
"B",2005-05-10,2005,130,4,10.1
"B",2005-05-20,2005,140,0,12.9
"B",2005-05-20,2005,140,0.5,12.8
